Width,Height,MaxIter,BlockX,BlockY,GridX,GridY,Time
ERROR: Image is not valid for settings (2400,2400,10000,736,944,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,736,960,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,736,976,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,736,992,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,736,1008,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,736,1024,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,752,1,3,2400).
ERROR: Image is not valid for settings (2400,2400,10000,752,16,3,150).
ERROR: Image is not valid for settings (2400,2400,10000,752,32,3,75).
ERROR: Image is not valid for settings (2400,2400,10000,752,48,3,50).
ERROR: Image is not valid for settings (2400,2400,10000,752,64,3,37).
ERROR: Image is not valid for settings (2400,2400,10000,752,80,3,30).
ERROR: Image is not valid for settings (2400,2400,10000,752,96,3,25).
ERROR: Image is not valid for settings (2400,2400,10000,752,112,3,21).
ERROR: Image is not valid for settings (2400,2400,10000,752,128,3,18).
ERROR: Image is not valid for settings (2400,2400,10000,752,144,3,16).
ERROR: Image is not valid for settings (2400,2400,10000,752,160,3,15).
ERROR: Image is not valid for settings (2400,2400,10000,752,176,3,13).
ERROR: Image is not valid for settings (2400,2400,10000,752,192,3,12).
ERROR: Image is not valid for settings (2400,2400,10000,752,208,3,11).
ERROR: Image is not valid for settings (2400,2400,10000,752,224,3,10).
ERROR: Image is not valid for settings (2400,2400,10000,752,240,3,10).
ERROR: Image is not valid for settings (2400,2400,10000,752,256,3,9).
ERROR: Image is not valid for settings (2400,2400,10000,752,272,3,8).
ERROR: Image is not valid for settings (2400,2400,10000,752,288,3,8).
ERROR: Image is not valid for settings (2400,2400,10000,752,304,3,7).
ERROR: Image is not valid for settings (2400,2400,10000,752,320,3,7).
ERROR: Image is not valid for settings (2400,2400,10000,752,336,3,7).
ERROR: Image is not valid for settings (2400,2400,10000,752,352,3,6).
ERROR: Image is not valid for settings (2400,2400,10000,752,368,3,6).
ERROR: Image is not valid for settings (2400,2400,10000,752,384,3,6).
ERROR: Image is not valid for settings (2400,2400,10000,752,400,3,6).
ERROR: Image is not valid for settings (2400,2400,10000,752,416,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,752,432,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,752,448,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,752,464,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,752,480,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,752,496,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,752,512,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,752,528,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,752,544,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,752,560,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,752,576,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,752,592,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,752,608,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,752,624,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,752,640,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,752,656,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,752,672,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,752,688,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,752,704,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,752,720,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,752,736,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,752,752,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,752,768,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,752,784,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,752,800,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,752,816,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,752,832,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,752,848,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,752,864,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,752,880,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,752,896,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,752,912,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,752,928,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,752,944,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,752,960,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,752,976,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,752,992,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,752,1008,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,752,1024,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,768,1,3,2400).
ERROR: Image is not valid for settings (2400,2400,10000,768,16,3,150).
ERROR: Image is not valid for settings (2400,2400,10000,768,32,3,75).
ERROR: Image is not valid for settings (2400,2400,10000,768,48,3,50).
ERROR: Image is not valid for settings (2400,2400,10000,768,64,3,37).
ERROR: Image is not valid for settings (2400,2400,10000,768,80,3,30).
ERROR: Image is not valid for settings (2400,2400,10000,768,96,3,25).
ERROR: Image is not valid for settings (2400,2400,10000,768,112,3,21).
ERROR: Image is not valid for settings (2400,2400,10000,768,128,3,18).
ERROR: Image is not valid for settings (2400,2400,10000,768,144,3,16).
ERROR: Image is not valid for settings (2400,2400,10000,768,160,3,15).
ERROR: Image is not valid for settings (2400,2400,10000,768,176,3,13).
ERROR: Image is not valid for settings (2400,2400,10000,768,192,3,12).
ERROR: Image is not valid for settings (2400,2400,10000,768,208,3,11).
ERROR: Image is not valid for settings (2400,2400,10000,768,224,3,10).
ERROR: Image is not valid for settings (2400,2400,10000,768,240,3,10).
ERROR: Image is not valid for settings (2400,2400,10000,768,256,3,9).
ERROR: Image is not valid for settings (2400,2400,10000,768,272,3,8).
ERROR: Image is not valid for settings (2400,2400,10000,768,288,3,8).
ERROR: Image is not valid for settings (2400,2400,10000,768,304,3,7).
ERROR: Image is not valid for settings (2400,2400,10000,768,320,3,7).
ERROR: Image is not valid for settings (2400,2400,10000,768,336,3,7).
ERROR: Image is not valid for settings (2400,2400,10000,768,352,3,6).
ERROR: Image is not valid for settings (2400,2400,10000,768,368,3,6).
ERROR: Image is not valid for settings (2400,2400,10000,768,384,3,6).
ERROR: Image is not valid for settings (2400,2400,10000,768,400,3,6).
ERROR: Image is not valid for settings (2400,2400,10000,768,416,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,768,432,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,768,448,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,768,464,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,768,480,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,768,496,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,768,512,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,768,528,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,768,544,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,768,560,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,768,576,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,768,592,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,768,608,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,768,624,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,768,640,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,768,656,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,768,672,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,768,688,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,768,704,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,768,720,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,768,736,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,768,752,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,768,768,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,768,784,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,768,800,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,768,816,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,768,832,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,768,848,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,768,864,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,768,880,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,768,896,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,768,912,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,768,928,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,768,944,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,768,960,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,768,976,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,768,992,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,768,1008,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,768,1024,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,784,1,3,2400).
ERROR: Image is not valid for settings (2400,2400,10000,784,16,3,150).
ERROR: Image is not valid for settings (2400,2400,10000,784,32,3,75).
ERROR: Image is not valid for settings (2400,2400,10000,784,48,3,50).
ERROR: Image is not valid for settings (2400,2400,10000,784,64,3,37).
ERROR: Image is not valid for settings (2400,2400,10000,784,80,3,30).
ERROR: Image is not valid for settings (2400,2400,10000,784,96,3,25).
ERROR: Image is not valid for settings (2400,2400,10000,784,112,3,21).
ERROR: Image is not valid for settings (2400,2400,10000,784,128,3,18).
ERROR: Image is not valid for settings (2400,2400,10000,784,144,3,16).
ERROR: Image is not valid for settings (2400,2400,10000,784,160,3,15).
ERROR: Image is not valid for settings (2400,2400,10000,784,176,3,13).
ERROR: Image is not valid for settings (2400,2400,10000,784,192,3,12).
ERROR: Image is not valid for settings (2400,2400,10000,784,208,3,11).
ERROR: Image is not valid for settings (2400,2400,10000,784,224,3,10).
